CommandLine, Time, Executable, Parent PID, PID, User, Privileges
git.exe status -z -uall , 20240926051402.296302+120 , C:\Program Files\Git\mingw64\bin\git.exe,6660 , 3556 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926051402.196482+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6660 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051402.207648+120 , C:\Windows\system32\conhost.exe,6660 , 7048 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051405.532491+120 , None,764 , 6444 , (None, 2, None) , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051409.897987+120 , C:\Windows\system32\conhost.exe,6948 , 6920 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051410.736579+120 , None,2344 , 2052 , (None, 2, None) , N/A
None , 20240926051411.411217+120 , None,2052 , 4612 , (None, 2, None) , N/A
None , 20240926051413.666407+120 , None,2344 , 3324 , (None, 2, None) , N/A
None , 20240926051413.687653+120 , None,3324 , 4056 , (None, 2, None) , N/A
None , 20240926051415.829072+120 , None,628 , 1676 , (None, 2, None) , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051416.621506+120 , C:\Windows\system32\conhost.exe,6712 , 5148 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926051418.919830+120 , None,2292 , 4708 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe" "c:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\resources\app\node_modules.asar\node-pty\lib\conpty_console_list_agent" 5636 , 20240926051419.432467+120 , C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe,6868 , 3220 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051420.885439+120 , C:\Windows\system32\conhost.exe,6336 , 3952 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051850.314421+120 , C:\Windows\system32\conhost.exe,8100 , 4140 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926051850.172672+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5868 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051850.196938+120 , C:\Windows\system32\conhost.exe,5868 , 7260 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051852.343386+120 , C:\Windows\system32\conhost.exe,3808 , 2692 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926051852.428820+120 , C:\Program Files\Git\mingw64\bin\git.exe,3808 , 3616 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926051852.333849+120 , C:\Program Files\Git\cmd\git.exe,2292 , 3808 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051907.378787+120 , None,3412 , 4712 , (None, 2, None) , N/A
